TransactionID,AccountNo,CustomerID,TransactionDate,TransactionType,Channel,Amount,BalanceAfter,Description,Status
TRX0006965,ACC000347,C0347,1999-09-20,Withdrawal,CDM,31138,358901,ATM Withdrawal,Successful
TRX0007502,ACC000373,C0373,1999-10-19,Transfer,Branch,48616,194076,Fund Transfer,Successful
TRX0004401,ACC000219,C0219,2000-01-01,Deposit,Branch,79662,90902,Cheque Deposit,Successful
TRX0005632,ACC000281,C0281,2000-02-19,Online Purchase,ATM,25137,29467,Amazon Purchase,Successful
TRX0008820,ACC000439,C0439,2000-04-20,Transfer,Mobile Banking,182892,0,Online Transfer,Successful
TRX0003546,ACC000177,C0177,2000-05-20,Salary Credit,Branch,481476,691989,Monthly Salary,Successful
TRX0001007,ACC000050,C0050,2000-06-26,Withdrawal,Mobile Banking,41905,35726,Cash Withdrawal,Successful
TRX0004397,ACC000219,C0219,2000-10-20,Deposit,POS,10650,10650,Cheque Deposit,Successful
TRX0003527,ACC000177,C0177,2000-10-21,Transfer,ATM,184837,178207,Online Transfer,Successful
TRX0010000,ACC000496,C0496,2001-02-15,Bill Payment,POS,23642,655280,Water Bill,Successful
TRX0008669,ACC000431,C0431,2001-02-25,Deposit,Mobile Banking,9204,806426,Cash Deposit,Successful
TRX0005616,ACC000281,C0281,2001-07-25,Deposit,Internet Banking,73197,142435,CDM Deposit,Successful
TRX0001993,ACC000099,C0099,2001-10-13,Deposit,Internet Banking,55120,295046,CDM Deposit,Successful
TRX0003531,ACC000177,C0177,2002-02-21,Online Purchase,CDM,40196,210872,Keells Online,Successful
TRX0001014,ACC000050,C0050,2002-03-13,Bill Payment,Mobile Banking,37714,0,Mobitel Bill,Successful
TRX0001990,ACC000099,C0099,2002-07-11,Online Purchase,Mobile Banking,67245,266008,Keells Online,Successful
TRX0006970,ACC000347,C0347,2002-07-27,Salary Credit,ATM,195602,485119,Monthly Salary,Successful
TRX0001996,ACC000099,C0099,2002-09-18,Interest Credit,ATM,2315,223537,Interest Credit,Successful
TRX0007497,ACC000373,C0373,2002-10-03,Deposit,Branch,78458,105309,CDM Deposit,Successful
TRX0009978,ACC000496,C0496,2002-12-06,Transfer,ATM,74984,233692,Bank Transfer,Successful
TRX0002256,ACC000112,C0112,2003-01-23,Withdrawal,Mobile Banking,21906,1466933,Cash Withdrawal,Successful
TRX0000120,ACC000007,C0007,2003-01-25,Withdrawal,Mobile Banking,14115,20579,Branch Withdrawal,Successful
TRX0008192,ACC000408,C0408,2003-01-30,Bill Payment,Mobile Banking,6220,139444,CEB Bill,Successful
TRX0003545,ACC000177,C0177,2003-02-01,Deposit,Internet Banking,65625,210513,Cheque Deposit,Successful
TRX0008659,ACC000431,C0431,2003-02-14,Online Purchase,ATM,55836,304406,Daraz Purchase,Successful
TRX0002259,ACC000112,C0112,2003-02-27,Online Purchase,Mobile Banking,21878,1353208,Keells Online,Successful
TRX0009996,ACC000496,C0496,2003-04-18,Deposit,Mobile Banking,7058,239280,Cheque Deposit,Successful
TRX0000117,ACC000007,C0007,2003-07-02,Bill Payment,ATM,33425,0,CEB Bill,Successful
TRX0002260,ACC000112,C0112,2003-07-07,Withdrawal,Branch,20768,1332440,Branch Withdrawal,Successful
TRX0000506,ACC000026,C0026,2003-09-01,Deposit,CDM,68272,304251,CDM Deposit,Successful
TRX0003530,ACC000177,C0177,2003-09-24,Deposit,CDM,11628,251068,Cheque Deposit,Successful
TRX0005621,ACC000281,C0281,2003-10-06,Online Purchase,Mobile Banking,1579,133874,Amazon Purchase,Successful
TRX0000122,ACC000007,C0007,2003-11-05,Withdrawal,Branch,35930,0,Branch Withdrawal,Successful
TRX0006973,ACC000347,C0347,2003-12-10,Deposit,ATM,72284,474113,CDM Deposit,Successful
TRX0006972,ACC000347,C0347,2004-01-05,Online Purchase,ATM,73795,401829,Amazon Purchase,Successful
TRX0001006,ACC000050,C0050,2004-01-27,Deposit,Internet Banking,77631,77631,CDM Deposit,Successful
TRX0009488,ACC000472,C0472,2004-02-11,Bill Payment,Branch,43333,413480,Water Bill,Successful
TRX0008188,ACC000408,C0408,2004-05-13,Bill Payment,ATM,47942,208287,Water Bill,Successful
TRX0008208,ACC000408,C0408,2004-05-21,Transfer,CDM,139529,309465,Online Transfer,Successful
TRX0007489,ACC000373,C0373,2004-05-25,Bill Payment,CDM,24792,142308,Water Bill,Successful
TRX0009493,ACC000472,C0472,2004-06-06,Withdrawal,Mobile Banking,20871,245865,Cash Withdrawal,Successful
TRX0008205,ACC000408,C0408,2004-06-12,Withdrawal,POS,34964,452344,Cash Withdrawal,Successful
TRX0009990,ACC000496,C0496,2004-06-12,Transfer,Internet Banking,76968,614902,Bank Transfer,Successful
TRX0005655,ACC000283,C0283,2004-06-16,Withdrawal,Branch,12439,622621,ATM Withdrawal,Successful
TRX0002248,ACC000112,C0112,2004-06-22,Deposit,Branch,40369,1351405,Cheque Deposit,Successful
TRX0005657,ACC000283,C0283,2004-07-08,Online Purchase,Internet Banking,41641,562164,Uber Payment,Successful
TRX0006964,ACC000347,C0347,2004-07-16,Deposit,ATM,85147,390039,Cheque Deposit,Successful
TRX0005617,ACC000281,C0281,2004-07-27,Transfer,Mobile Banking,133300,9135,Online Transfer,Successful
TRX0009542,ACC000475,C0475,2004-09-26,Salary Credit,Internet Banking,466623,573383,Monthly Salary,Successful
TRX0008458,ACC000421,C0421,2004-10-28,Salary Credit,ATM,472646,1494662,Monthly Salary,Successful
TRX0002258,ACC000112,C0112,2004-11-04,Withdrawal,ATM,45603,1375086,ATM Withdrawal,Successful
TRX0007500,ACC000373,C0373,2004-12-30,Deposit,Mobile Banking,84922,249206,Cheque Deposit,Successful
TRX0008670,ACC000431,C0431,2005-01-01,Transfer,Mobile Banking,77037,729389,Fund Transfer,Successful
TRX0004403,ACC000219,C0219,2005-01-10,Interest Credit,CDM,5358,115175,Interest Credit,Successful
TRX0009992,ACC000496,C0496,2005-02-10,Transfer,ATM,134833,432186,Fund Transfer,Successful
TRX0002866,ACC000143,C0143,2005-02-16,Bill Payment,Branch,22766,418606,CEB Bill,Successful
TRX0001002,ACC000050,C0050,2005-02-16,Transfer,Branch,126980,0,Fund Transfer,Successful
TRX0005622,ACC000281,C0281,2005-03-07,Transfer,ATM,141812,0,Online Transfer,Successful
TRX0009424,ACC000469,C0469,2005-04-26,Transfer,POS,18853,905375,Bank Transfer,Successful
TRX0002873,ACC000143,C0143,2005-04-30,Bill Payment,Internet Banking,29699,238034,CEB Bill,Successful
TRX0007490,ACC000373,C0373,2005-05-17,Transfer,Internet Banking,140167,2141,Online Transfer,Successful
TRX0003538,ACC000177,C0177,2005-05-19,Deposit,Internet Banking,76869,282544,Cash Deposit,Successful
TRX0004865,ACC000243,C0243,2005-06-02,Deposit,Internet Banking,49670,94557,Cash Deposit,Successful
TRX0005624,ACC000281,C0281,2005-09-22,Deposit,Branch,99165,164090,CDM Deposit,Successful
TRX0009551,ACC000475,C0475,2005-10-11,Withdrawal,ATM,35213,17215,Cash Withdrawal,Successful
TRX0006969,ACC000347,C0347,2005-10-16,Salary Credit,CDM,132155,289517,Monthly Salary,Successful
TRX0001522,ACC000077,C0077,2005-10-26,Bill Payment,Branch,28374,444295,CEB Bill,Pending
TRX0007494,ACC000373,C0373,2005-11-02,Deposit,Mobile Banking,13437,26645,Cheque Deposit,Pending
TRX0006168,ACC000307,C0307,2005-12-02,Deposit,Branch,81241,305909,Cheque Deposit,Successful
TRX0005668,ACC000283,C0283,2006-01-05,Transfer,Branch,143072,221360,Bank Transfer,Successful
TRX0009540,ACC000475,C0475,2006-01-28,Withdrawal,ATM,18400,131229,Branch Withdrawal,Successful
TRX0009543,ACC000475,C0475,2006-01-30,Transfer,CDM,193297,380086,Bank Transfer,Successful
TRX0008451,ACC000421,C0421,2006-03-14,Deposit,CDM,97880,1132043,Cash Deposit,Successful
TRX0009420,ACC000469,C0469,2006-03-26,Bill Payment,Mobile Banking,25562,702297,Mobitel Bill,Successful
TRX0004869,ACC000243,C0243,2006-04-18,Deposit,Mobile Banking,75708,627228,Cheque Deposit,Successful
TRX0005659,ACC000283,C0283,2006-05-10,Online Purchase,Mobile Banking,56964,444079,Uber Payment,Successful
TRX0008467,ACC000421,C0421,2006-06-16,Deposit,CDM,12282,1431135,CDM Deposit,Successful
TRX0008206,ACC000408,C0408,2006-06-30,Deposit,Mobile Banking,50657,503001,CDM Deposit,Successful
TRX0008198,ACC000408,C0408,2006-07-14,Withdrawal,Mobile Banking,9843,0,ATM Withdrawal,Successful
TRX0004862,ACC000243,C0243,2006-07-30,Deposit,Internet Banking,54256,54256,Cheque Deposit,Successful
TRX0006979,ACC000347,C0347,2006-08-06,Withdrawal,POS,24220,867114,Cash Withdrawal,Successful
TRX0006172,ACC000307,C0307,2006-08-13,Transfer,ATM,188480,104419,Fund Transfer,Successful
TRX0008628,ACC000429,C0429,2006-08-23,Transfer,Branch,121237,295813,Online Transfer,Successful
TRX0001997,ACC000099,C0099,2006-09-27,Transfer,ATM,119629,103908,Fund Transfer,Successful
TRX0004856,ACC000243,C0243,2006-09-29,Bill Payment,Mobile Banking,27813,72899,Dialog Bill,Successful
TRX0002525,ACC000126,C0126,2006-09-29,Online Purchase,CDM,30736,33010,Amazon Purchase,Successful
TRX0001530,ACC000077,C0077,2006-10-01,Withdrawal,Internet Banking,33154,208536,ATM Withdrawal,Successful
TRX0001013,ACC000050,C0050,2006-10-11,Transfer,Mobile Banking,89353,0,Fund Transfer,Failed
TRX0009216,ACC000459,C0459,2006-10-22,Deposit,Mobile Banking,66326,210229,CDM Deposit,Successful
TRX0006162,ACC000307,C0307,2006-10-22,Deposit,Internet Banking,21996,319839,CDM Deposit,Successful
TRX0008818,ACC000439,C0439,2006-11-23,Transfer,Mobile Banking,83649,182721,Bank Transfer,Successful
TRX0006174,ACC000307,C0307,2006-12-06,Transfer,ATM,120395,0,Online Transfer,Successful
TRX0004728,ACC000236,C0236,2006-12-08,Withdrawal,Mobile Banking,41492,35083,Branch Withdrawal,Successful
TRX0001010,ACC000050,C0050,2007-01-11,Withdrawal,ATM,8512,69161,Branch Withdrawal,Failed
TRX0007424,ACC000369,C0369,2007-02-21,Deposit,Mobile Banking,72500,4510326,Cash Deposit,Successful
TRX0009492,ACC000472,C0472,2007-02-26,Withdrawal,Internet Banking,36528,266736,Branch Withdrawal,Successful
TRX0008828,ACC000439,C0439,2007-04-02,Withdrawal,ATM,49970,90153,ATM Withdrawal,Successful
TRX0009487,ACC000472,C0472,2007-04-14,Transfer,Internet Banking,13098,456813,Fund Transfer,Failed
TRX0009203,ACC000459,C0459,2007-04-29,Transfer,Mobile Banking,125442,245686,Online Transfer,Successful
TRX0006787,ACC000338,C0338,2007-05-10,Deposit,Mobile Banking,49103,482439,Cash Deposit,Successful
TRX0008466,ACC000421,C0421,2007-05-12,Transfer,ATM,88272,1418853,Online Transfer,Successful
TRX0006167,ACC000307,C0307,2007-05-27,Bill Payment,Internet Banking,44759,224668,Mobitel Bill,Successful
TRX0007429,ACC000369,C0369,2007-06-05,Deposit,Branch,15607,4725327,Cash Deposit,Successful
TRX0006826,ACC000340,C0340,2007-06-05,Deposit,Mobile Banking,36484,103658,Cash Deposit,Successful
TRX0004857,ACC000243,C0243,2007-06-20,Withdrawal,ATM,29453,43446,Branch Withdrawal,Successful
TRX0008465,ACC000421,C0421,2007-06-22,Deposit,ATM,48527,1507125,Cheque Deposit,Successful
TRX0001005,ACC000050,C0050,2007-06-26,Online Purchase,Mobile Banking,19731,0,Uber Payment,Successful
TRX0004666,ACC000233,C0233,2007-06-29,Deposit,Mobile Banking,65889,1323051,CDM Deposit,Successful
TRX0001521,ACC000077,C0077,2007-07-23,Withdrawal,Mobile Banking,25842,472669,ATM Withdrawal,Successful
TRX0008634,ACC000429,C0429,2007-07-24,Withdrawal,Branch,28578,277271,Branch Withdrawal,Successful
TRX0007420,ACC000369,C0369,2007-07-28,Deposit,Mobile Banking,16741,4517124,Cash Deposit,Successful
TRX0004664,ACC000233,C0233,2007-08-05,Transfer,Internet Banking,68973,1276539,Fund Transfer,Successful
TRX0004400,ACC000219,C0219,2007-08-11,Transfer,Mobile Banking,48120,11240,Online Transfer,Successful
TRX0008446,ACC000421,C0421,2007-08-23,Withdrawal,POS,47344,1536074,Cash Withdrawal,Successful
TRX0005088,ACC000254,C0254,2007-08-30,Withdrawal,Mobile Banking,16311,671917,ATM Withdrawal,Successful
TRX0000651,ACC000033,C0033,2007-09-01,Deposit,Branch,28124,1834641,Cash Deposit,Successful
TRX0007170,ACC000356,C0356,2007-09-08,Withdrawal,Internet Banking,32714,180579,Branch Withdrawal,Successful
TRX0002868,ACC000143,C0143,2007-09-23,Online Purchase,Internet Banking,71984,297707,Uber Payment,Successful
TRX0000508,ACC000026,C0026,2007-10-02,Deposit,Mobile Banking,19817,374040,Cheque Deposit,Successful
TRX0001000,ACC000050,C0050,2007-10-11,Transfer,Mobile Banking,155948,24707,Online Transfer,Failed
TRX0007418,ACC000369,C0369,2007-10-24,Interest Credit,CDM,6484,4618672,Interest Credit,Successful
TRX0008826,ACC000439,C0439,2007-10-27,Deposit,ATM,42610,42610,Cheque Deposit,Successful
TRX0004660,ACC000233,C0233,2007-11-22,Transfer,Mobile Banking,187207,1253491,Bank Transfer,Successful
TRX0000748,ACC000037,C0037,2007-11-23,Deposit,Mobile Banking,78222,374508,Cheque Deposit,Successful
TRX0007417,ACC000369,C0369,2007-12-05,Transfer,ATM,51139,4612188,Online Transfer,Successful
TRX0006164,ACC000307,C0307,2007-12-12,Transfer,Branch,75455,289204,Fund Transfer,Successful
TRX0009209,ACC000459,C0459,2007-12-26,Withdrawal,POS,9824,356658,Cash Withdrawal,Successful
TRX0008663,ACC000431,C0431,2008-01-01,Deposit,Branch,79926,793910,CDM Deposit,Successful
TRX0005625,ACC000281,C0281,2008-01-09,Withdrawal,CDM,26596,137494,ATM Withdrawal,Successful
TRX0006827,ACC000340,C0340,2008-01-10,Withdrawal,Branch,49506,54152,Branch Withdrawal,Successful
TRX0000125,ACC000007,C0007,2008-01-16,Transfer,Mobile Banking,600,0,Fund Transfer,Successful
TRX0007428,ACC000369,C0369,2008-01-16,Transfer,Mobile Banking,80331,4709720,Online Transfer,Successful
TRX0009556,ACC000475,C0475,2008-01-18,Deposit,Internet Banking,45098,205694,Cheque Deposit,Successful
TRX0008453,ACC000421,C0421,2008-01-30,Withdrawal,ATM,15545,1027578,Branch Withdrawal,Successful
TRX0001525,ACC000077,C0077,2008-02-07,Deposit,Internet Banking,78618,484842,CDM Deposit,Successful
TRX0008827,ACC000439,C0439,2008-02-09,Deposit,Internet Banking,97513,140123,CDM Deposit,Successful
TRX0002242,ACC000112,C0112,2008-02-21,Deposit,ATM,59630,1196449,CDM Deposit,Failed
TRX0000746,ACC000037,C0037,2008-02-26,Withdrawal,Internet Banking,36364,322905,Branch Withdrawal,Successful
TRX0007426,ACC000369,C0369,2008-02-28,Online Purchase,POS,8897,4458752,Amazon Purchase,Successful
TRX0006170,ACC000307,C0307,2008-03-11,Withdrawal,Mobile Banking,18201,265748,Cash Withdrawal,Successful
TRX0009221,ACC000459,C0459,2008-03-13,Withdrawal,Mobile Banking,34658,128564,Branch Withdrawal,Successful
TRX0000652,ACC000033,C0033,2008-04-15,Deposit,Mobile Banking,30238,1864879,Cash Deposit,Successful
TRX0000109,ACC000007,C0007,2008-04-23,Bill Payment,Mobile Banking,33895,437879,CEB Bill,Successful
TRX0007961,ACC000396,C0396,2008-04-26,Withdrawal,Mobile Banking,44985,341276,Branch Withdrawal,Successful
TRX0009552,ACC000475,C0475,2008-05-02,Deposit,Internet Banking,63658,80873,Cash Deposit,Failed
TRX0002613,ACC000130,C0130,2008-05-05,Online Purchase,CDM,3887,279110,Amazon Purchase,Successful
TRX0000661,ACC000033,C0033,2008-05-21,Withdrawal,CDM,5730,1942202,Cash Withdrawal,Successful
TRX0001539,ACC000077,C0077,2008-05-22,Salary Credit,Internet Banking,126748,442046,Monthly Salary,Successful
TRX0007164,ACC000356,C0356,2008-05-28,Deposit,Mobile Banking,80702,270592,CDM Deposit,Successful
TRX0006789,ACC000338,C0338,2008-06-04,Transfer,Branch,33973,416983,Fund Transfer,Successful
TRX0009206,ACC000459,C0459,2008-06-07,Deposit,ATM,40450,316262,Cheque Deposit,Successful
TRX0001991,ACC000099,C0099,2008-06-10,Transfer,Internet Banking,107572,158436,Online Transfer,Successful
TRX0001536,ACC000077,C0077,2008-06-16,Withdrawal,Mobile Banking,4699,396106,Branch Withdrawal,Successful
TRX0008623,ACC000429,C0429,2008-06-24,Transfer,Mobile Banking,73767,437761,Fund Transfer,Successful
TRX0002618,ACC000130,C0130,2008-07-07,Transfer,Internet Banking,148923,160579,Fund Transfer,Successful
TRX0007427,ACC000369,C0369,2008-07-10,Salary Credit,Mobile Banking,331299,4790051,Monthly Salary,Successful
TRX0007165,ACC000356,C0356,2008-07-11,Online Purchase,Branch,40977,229615,Uber Payment,Successful
TRX0001175,ACC000059,C0059,2008-08-17,Withdrawal,Branch,21620,116553,Cash Withdrawal,Successful
TRX0000739,ACC000037,C0037,2008-08-17,Withdrawal,Internet Banking,29178,335463,Branch Withdrawal,Successful
TRX0006778,ACC000338,C0338,2008-08-28,Salary Credit,Mobile Banking,384401,570415,Monthly Salary,Successful
TRX0001001,ACC000050,C0050,2008-09-05,Withdrawal,ATM,12045,12662,Cash Withdrawal,Successful
TRX0008201,ACC000408,C0408,2008-09-08,Transfer,Branch,22900,0,Online Transfer,Successful
TRX0003572,ACC000179,C0179,2008-09-14,Deposit,Internet Banking,52206,964004,Cash Deposit,Successful
TRX0001535,ACC000077,C0077,2008-10-16,Bill Payment,Internet Banking,20192,400805,Mobitel Bill,Successful
TRX0008614,ACC000429,C0429,2008-10-17,Transfer,Internet Banking,199642,229612,Bank Transfer,Successful
TRX0002070,ACC000103,C0103,2008-10-22,Bill Payment,Mobile Banking,34066,1613157,Mobitel Bill,Successful
TRX0008830,ACC000439,C0439,2008-10-25,Transfer,Branch,80975,55426,Bank Transfer,Successful
TRX0009425,ACC000469,C0469,2008-11-05,Withdrawal,Mobile Banking,44049,861326,Cash Withdrawal,Successful
TRX0005667,ACC000283,C0283,2008-12-03,Deposit,ATM,1751,364432,Cash Deposit,Successful
TRX0003695,ACC000185,C0185,2008-12-04,Bill Payment,Internet Banking,9375,1671448,Water Bill,Successful
TRX0006974,ACC000347,C0347,2008-12-04,Online Purchase,Internet Banking,18408,455705,Uber Payment,Successful
TRX0006784,ACC000338,C0338,2008-12-08,Deposit,POS,15971,408292,CDM Deposit,Successful
TRX0000720,ACC000036,C0036,2008-12-20,Online Purchase,ATM,4202,120211,Amazon Purchase,Successful
TRX0009555,ACC000475,C0475,2008-12-30,Transfer,Internet Banking,4947,160596,Bank Transfer,Successful
TRX0005663,ACC000283,C0283,2009-01-25,Online Purchase,CDM,64544,368702,Amazon Purchase,Successful
TRX0000309,ACC000016,C0016,2009-02-01,Withdrawal,CDM,40240,4264366,Branch Withdrawal,Successful
TRX0006780,ACC000338,C0338,2009-02-15,Deposit,Internet Banking,34809,695168,Cash Deposit,Pending
TRX0000518,ACC000026,C0026,2009-02-18,Bill Payment,ATM,30873,305005,Dialog Bill,Successful
TRX0001176,ACC000059,C0059,2009-02-19,Transfer,Mobile Banking,27796,88757,Bank Transfer,Successful
TRX0000666,ACC000033,C0033,2009-03-08,Transfer,Mobile Banking,134723,1732617,Fund Transfer,Successful
TRX0003573,ACC000179,C0179,2009-03-14,Withdrawal,ATM,39818,924186,Cash Withdrawal,Successful
TRX0002625,ACC000130,C0130,2009-03-18,Transfer,Mobile Banking,36354,427404,Bank Transfer,Successful
TRX0002872,ACC000143,C0143,2009-03-18,Bill Payment,Mobile Banking,48828,267733,Mobitel Bill,Successful
TRX0004395,ACC000219,C0219,2009-04-14,Transfer,Mobile Banking,6345,0,Online Transfer,Successful
TRX0000112,ACC000007,C0007,2009-05-03,Transfer,ATM,14729,389453,Bank Transfer,Successful
TRX0002080,ACC000103,C0103,2009-06-07,Withdrawal,Branch,12828,1868045,Branch Withdrawal,Successful
TRX0009205,ACC000459,C0459,2009-06-15,Deposit,ATM,69715,275812,Cash Deposit,Successful
TRX0007461,ACC000371,C0371,2009-06-19,Withdrawal,Internet Banking,15660,904644,Branch Withdrawal,Successful
TRX0009412,ACC000469,C0469,2009-06-19,Online Purchase,CDM,7511,528475,Keells Online,Successful
TRX0009411,ACC000469,C0469,2009-06-20,Deposit,Branch,16193,535986,CDM Deposit,Successful
TRX0006820,ACC000340,C0340,2009-06-25,Bill Payment,Mobile Banking,26578,72834,Water Bill,Successful
TRX0004663,ACC000233,C0233,2009-06-27,Salary Credit,CDM,294031,1345512,Monthly Salary,Successful
TRX0000747,ACC000037,C0037,2009-07-14,Transfer,ATM,26619,296286,Online Transfer,Successful
TRX0007167,ACC000356,C0356,2009-07-29,Deposit,Mobile Banking,88455,303410,Cash Deposit,Successful
TRX0009414,ACC000469,C0469,2009-08-20,Deposit,Mobile Banking,98460,614739,CDM Deposit,Successful
TRX0002075,ACC000103,C0103,2009-09-13,Bill Payment,Mobile Banking,43217,1932269,Mobitel Bill,Successful
TRX0006171,ACC000307,C0307,2009-09-16,Deposit,Branch,27151,292899,Cash Deposit,Successful
TRX0003582,ACC000179,C0179,2009-09-19,Interest Credit,ATM,12697,754637,Interest Credit,Successful
TRX0008982,ACC000447,C0447,2009-10-10,Deposit,Internet Banking,48739,850409,Cash Deposit,Successful
TRX0008981,ACC000447,C0447,2009-10-22,Withdrawal,Branch,25234,801670,ATM Withdrawal,Successful
TRX0004871,ACC000243,C0243,2009-10-26,Withdrawal,Mobile Banking,3265,553333,Cash Withdrawal,Successful
TRX0000662,ACC000033,C0033,2009-11-02,Withdrawal,ATM,17193,1925009,Cash Withdrawal,Successful
TRX0008776,ACC000437,C0437,2009-11-26,Salary Credit,Mobile Banking,336829,3387004,Monthly Salary,Successful
TRX0000301,ACC000016,C0016,2009-11-29,Transfer,Mobile Banking,96700,4466236,Bank Transfer,Successful
TRX0009546,ACC000475,C0475,2009-12-03,Online Purchase,Internet Banking,34354,230417,Keells Online,Successful
TRX0007950,ACC000396,C0396,2009-12-06,Deposit,Internet Banking,49922,538426,CDM Deposit,Successful
TRX0006788,ACC000338,C0338,2009-12-11,Withdrawal,POS,31483,450956,Cash Withdrawal,Successful
TRX0007161,ACC000356,C0356,2009-12-12,Online Purchase,CDM,66800,257187,Keells Online,Successful
TRX0004407,ACC000219,C0219,2009-12-12,Salary Credit,Internet Banking,328572,360907,Monthly Salary,Successful
TRX0000736,ACC000037,C0037,2009-12-19,Deposit,Mobile Banking,92246,581455,Cash Deposit,Successful
TRX0000722,ACC000036,C0036,2009-12-19,Bill Payment,Internet Banking,26692,577665,CEB Bill,Successful
TRX0000655,ACC000033,C0033,2009-12-20,Transfer,CDM,144300,1646458,Fund Transfer,Successful
TRX0007944,ACC000396,C0396,2010-01-09,Deposit,Internet Banking,96731,512842,Cheque Deposit,Successful
TRX0003533,ACC000177,C0177,2010-01-20,Withdrawal,Mobile Banking,33235,181927,Cash Withdrawal,Successful
TRX0004867,ACC000243,C0243,2010-01-20,Salary Credit,Branch,222286,319431,Monthly Salary,Successful
TRX0009548,ACC000475,C0475,2010-02-01,Withdrawal,Internet Banking,44337,137619,Cash Withdrawal,Successful
